0,0,0,0,0|0.9116148596014974
0,0,0,1,0|0.047953660002628795
0,0,0,0,1|0.009202499999961308
0,1,0,0,0|0.01320957999993751
0,1,1,0,1|0.00040409999999986833
1,0,1,1,1|0.00579743999998153
0,1,1,1,0|0.0015442200000023553
0,1,1,1,1|0.0036258399999944263
1,0,1,0,1|0.0006425799999997449
1,0,0,0,0|0.0005558199999997898
0,1,1,0,0|0.00017135999999998885
1,0,1,1,0|0.002481400000001223
0,0,1,0,1|6.704000000000557e-05
1,1,1,1,1|0.00012078000000001415
0,1,0,1,0|0.0006968399999997168
0,0,1,1,1|0.0006081999999997627
0,0,0,1,1|0.00048539999999982624
1,0,1,0,0|0.00027235999999993655
0,0,1,1,0|0.00026099999999994243
0,1,0,0,1|0.00013230000000000907
1,0,0,1,0|2.9739999999999736e-05
1,1,1,1,0|5.154000000000309e-05
0,0,1,0,0|2.941999999999974e-05
1,1,1,0,1|1.2259999999999903e-05
1,1,0,0,0|9.639999999999928e-06
0,1,0,1,1|7.159999999999952e-06
1,0,0,0,1|6.019999999999963e-06
1,1,1,0,0|6.059999999999962e-06
1,1,0,0,1|8e-08
1,1,0,1,0|4.2000000000000016e-07
1,0,0,1,1|3.600000000000001e-07
1,1,0,1,1|2e-08
